rider;1970;1972;1974;1976;1977;1979;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Ignatiev Mikhail;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;Team Katusha;null;null;null;null;null;null;null;null
Fröhlinger Johannes;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Milram;Milram;null;Argos - Shimano;Team Argos - Shimano;null;null;null;null;null;null
Bouet Maxime;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Agritubel;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;null;null;null;Fortuneo - Oscaro;Team Fortuneo - Samsic;Team Arkéa Samsic
Špilak Simon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - NGC;Lampre - Farnese Vini;null;null;null;Team Katusha;null;null;null;null;null
Urán Rigoberto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Caisse d'Epargne;null;Sky Procycling;null;null;null;Etixx - Quick Step;null;Cannondale-Drapac Pro Cycling Team;Team EF Education First-Drapac p/b Cannondale;EF Education First
Farrar Tyler;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Garmin - Slipstream;Team Garmin - Transitions;Team Garmin - Cervélo;Garmin Sharp;null;null;MTN - Qhubeka;null;null;null;null
Sabatini Fabio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas;null;Liquigas - Cannondale;null;Cannondale Pro Cycling Team;Cannondale;null;Etixx - Quick Step;Quick-Step Floors;null;null
Haddou Saïd;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Bbox Bouygues Telecom;null;null;null;null;null;null;null;null;null;null
Rojas José Joaquín;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Caisse d'Epargne;Caisse d'Epargne;Movistar Team;Movistar Team;Movistar Team;Movistar Team;null;null;null;Movistar Team;null
Minard Sébastien;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;Cofidis, le Crédit en Ligne;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale;null;null;null;null;null
Hupond Thierry;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;null;null;null;null;null;null;null;null
Kern Christophe;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;Cofidis, le Crédit en Ligne;Team Europcar;Team Europcar;null;null;null;null;null;null;null
Rolland Pierre;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Bbox Bouygues Telecom;Bbox Bouygues Telecom;Team Europcar;Team Europcar;Team Europcar;Team Europcar;Team Europcar;Cannondale-Drapac Pro Cycling Team;Cannondale-Drapac Pro Cycling Team;Team EF Education First-Drapac p/b Cannondale;null
Roulston Hayden;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cervelo Test Team;null;null;null;null;null;null;null;null;null;null
Rooijakkers Piet;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;null;null;null;null;null;null;null;null
Muravyev Dmitriy;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Astana;RadioShack;RadioShack;null;Astana Pro Team;null;null;null;null;null;null
Lemoine Cyril;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;Saur - Sojasun;Sojasun;Cofidis, Solutions Crédits;null;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;null;null
Arashiro Yukiya;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Bbox Bouygues Telecom;Bbox Bouygues Telecom;null;Team Europcar;Team Europcar;Team Europcar;null;Lampre - Merida;Bahrain Merida Pro Cycling Team;null;null
Sørensen Chris Anker;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saxo Bank;Saxo Bank;Saxo Bank - Sungard;Team Saxo Bank - Tinkoff Bank;null;null;null;Fortuneo - Vital Concept;null;null;null
Santambrogio Mauro;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - NGC;BMC Racing Team;null;null;null;null;null;null;null;null;null
Vandenbergh Stijn;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;Team Katusha;null;null;null;null;null;null;null;null;null
Van Avermaet Greg;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Silence - Lotto;null;null;null;null;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;CCC Team
Pichot Alexandre;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Bbox Bouygues Telecom;null;null;null;null;Team Europcar;null;null;null;null;null
Feillu Brice;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Agritubel;null;null;Saur - Sojasun;Sojasun;Bretagne - Séché Environnement;Bretagne - Séché Environnement;Fortuneo - Vital Concept;Fortuneo - Oscaro;null;null
Trusov Nikolay;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;null;null;null;null;null;null;null;null
de Kort Koen;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;Argos - Shimano;Team Argos - Shimano;Team Giant - Shimano;Team Giant - Alpecin;null;Trek - Segafredo;Trek - Segafredo;Trek - Segafredo
Bandiera Marco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - NGC;null;null;null;null;null;null;null;null;null;null
Lloyd Matthew;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Silence - Lotto;Omega Pharma-Lotto;null;Lampre - ISD;null;null;null;null;null;null;null
Pérez Alan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Euskaltel - Euskadi;Euskaltel - Euskadi;Euskaltel - Euskadi;null;null;null;null;null;null;null;null
Hivert Jonathan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;Saur - Sojasun;null;Sojasun;null;null;null;null;null;null
Sapa Marcin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - NGC;null;null;null;null;null;null;null;null;null;null
Timmer Albert;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;Argos - Shimano;Team Argos - Shimano;Team Giant - Shimano;Team Giant - Alpecin;Team Giant - Alpecin;Team Sunweb;null;null
Fernández Koldo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Euskaltel - Euskadi;null;null;null;null;null;null;null;null;null;null
Geschke Simon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;null;Team Argos - Shimano;null;Team Giant - Alpecin;Team Giant - Alpecin;Team Sunweb;Team Sunweb;CCC Team
Horrach   Joan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;Team Katusha;null;null;null;null;null;null;null
Beppu Fumiyuki;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;null;null;null;null;null;null;null;null
van Hummel Kenny;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Skil - Shimano;null;null;Vacansoleil - DCM;null;null;null;null;null;null;null
Hutarovich Yauheni;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Française des Jeux;null;null;FDJ - BigMat;null;null;null;null;null;null;null
Oss Daniel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Doimo;Liquigas - Cannondale;Liquigas - Cannondale;null;BMC Racing Team;BMC Racing Team;null;null;BORA - hansgrohe;BORA - hansgrohe
Roelandts Jürgen;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Omega Pharma-Lotto;Omega Pharma-Lotto;Lotto Belisol Team;Lotto Belisol Team;Lotto Belisol;null;Lotto Soudal;Lotto Soudal;null;null
Turgot Sébastien;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Bbox Bouygues Telecom;Team Europcar;null;null;null;null;null;null;null;null
El Fares Julien;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;Cofidis, le Crédit en Ligne;null;Sojasun;null;null;null;null;null;null
Boasson Hagen Edvald;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Sky Procycling;Sky Procycling;Sky Procycling;Sky Procycling;null;MTN - Qhubeka;Team Dimension Data;Team Dimension Data;Team Dimension Data;Team Dimension Data
Barry Michael;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Sky Procycling;null;null;null;null;null;null;null;null;null
De Weert Kevin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Quickstep - Innergetic;Quickstep Cycling Team;Omega Pharma - Quick-Step;null;null;null;null;null;null;null
Vorganov Eduard;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;Team Katusha;Team Katusha;null;null;null;null;null;null
Fuglsang Jakob;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saxo Bank;Leopard Trek;null;Astana Pro Team;Astana Pro Team;Astana Pro Team;Astana Pro Team;Astana Pro Team;Astana Pro Team;Astana Pro Team
Kolobnev Alexandr;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;Team Katusha;null;null;null;null;null;null;null;null
Seeldraeyers Kevin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Quickstep - Innergetic;null;null;null;null;null;null;null;null;null
Da Dalto Mauro;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - Farnese Vini;null;null;null;null;null;null;null;null;null
Kluge Roger;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Milram;null;null;null;IAM Cycling;null;null;null;null;Lotto Soudal
Koren Kristijan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Doimo;Liquigas - Cannondale;Liquigas - Cannondale;Cannondale Pro Cycling Team;Cannondale;Team Cannondale - Garmin;Cannondale-Drapac Pro Cycling Team;null;Bahrain Merida Pro Cycling Team;null
Kiryienka Vasil;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Caisse d'Epargne;Movistar Team;Movistar Team;Sky Procycling;Team Sky;null;Team Sky;Team Sky;null;null
Bole Grega;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - Farnese Vini;Lampre - ISD;Lampre - ISD;null;null;null;null;Bahrain Merida Pro Cycling Team;null;null
Gavazzi Francesco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - Farnese Vini;null;null;Astana Pro Team;null;null;null;null;null;null
de Greef Francis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Omega Pharma-Lotto;null;Lotto Belisol Team;null;null;null;null;null;null;null
Sulzberger Wesley;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Francaise des Jeux;null;null;null;null;null;null;null;null;null
Lloyd Daniel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cervelo Test Team;null;null;null;null;null;null;null;null;null
Moreno Daniel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Omega Pharma-Lotto;null;null;Team Katusha;null;null;Movistar Team;null;null;null
Bookwalter Brent;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;BMC Racing Team;BMC Racing Team;null;BMC Racing Team;null;null;BMC Racing Team;null;null;null
Pauwels Serge;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Sky Procycling;null;null;null;null;MTN - Qhubeka;Team Dimension Data;Team Dimension Data;Team Dimension Data;CCC Team
Felline Fabio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;Trek - Segafredo;null;Trek - Segafredo
Rohregger Thomas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Milram;null;null;null;null;null;null;null;null;null
Plaza Rubén;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Caisse d'Epargne;null;Movistar Team;Movistar Team;Movistar Team;Lampre - Merida;ORICA-BikeExchange;null;null;null
Taaramäe Rein;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;Cofidis, le Crédit en Ligne;Cofidis, le Crédit en Ligne;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;Astana Pro Team;null;null;Direct Energie;Team Total Direct Energie
Gautier Cyril;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Bbox Bouygues Telecom;Team Europcar;Team Europcar;Team Europcar;Team Europcar;Team Europcar;AG2R La Mondiale;AG2R La Mondiale;null;null
Monier Damien;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;null;null;null;null;null;null;null;null;null
Velasco Iván;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Euskaltel - Euskadi;Euskaltel - Euskadi;null;null;null;null;null;null;null;null
Malori Adriano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - Farnese Vini;Lampre - ISD;null;Lampre - Merida;null;Movistar Team;null;null;null;null
Benítez José Alberto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;null;null;null
Durán Arkaitz;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;null;null;null
Breschel Matti;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saxo Bank;null;null;null;null;null;Cannondale-Drapac Pro Cycling Team;null;null;null
Capecchi Eros;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;null;null;null
Cummings Steve;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Sky Procycling;null;BMC Racing Team;null;null;MTN - Qhubeka;Team Dimension Data;Team Dimension Data;null;Team Dimension Data
Perget Mathieu;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Caisse d'Epargne;null;null;null;null;null;null;null;null;null
Erviti Imanol;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Caisse d'Epargne;Movistar Team;Movistar Team;Movistar Team;Movistar Team;Movistar Team;Movistar Team;Movistar Team;Movistar Team;Movistar Team
Eibegger Markus;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;null;null;null
Pérez Aitor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;null;null;null
Mayoz Iban;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;null;null;null
Valls Rafael;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;Vacansoleil - DCM;null;Lampre - Merida;Lampre - Merida;null;null;null;null
Bellotti Francesco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Doimo;null;null;null;null;null;null;null;null;null
Pliușchin Alexandr;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;null;null;null;null;null;null;null
Tjallingii Maarten;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Rabobank ProTeam;Rabobank Cycling Team;Rabobank Cycling Team;null;null;null;null;null;null;null
Devenyns Dries;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Quickstep - Innergetic;Quickstep Cycling Team;Omega Pharma - Quick-Step;null;Team Giant - Shimano;null;null;null;null;Deceuninck - Quick Step
Champion Dimitri;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;AG2R La Mondiale;null;null;null;null;null;null;null;null;null
Morabito Steve;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;BMC Racing Team;BMC Racing Team;null;BMC Racing Team;null;FDJ;FDJ;null;null;null
Roux Anthony;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Francaise des Jeux;FDJ;FDJ - BigMat;null;null;null;FDJ;null;null;Groupama - FDJ
Konovalovas Ignatas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cervelo Test Team;null;null;null;null;null;null;FDJ;null;null
Brutt Pavel;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;Team Katusha;null;Team Katusha;null;null;null;null;null;null
Rodríguez Joaquim;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;Team Katusha;Team Katusha;Team Katusha;Team Katusha;null;null;null
Reda Francesco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Quickstep - Innergetic;null;null;null;null;null;null;null;null;null
Lorenzetto Mirco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Lampre - Farnese Vini;null;null;null;null;null;null;null;null;null
Hunt Jeremy;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cervelo Test Team;null;null;null;null;null;null;null;null;null
Brajkovič Janez;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;RadioShack;RadioShack;Astana Pro Team;Astana Pro Team;null;null;null;Bahrain Merida Pro Cycling Team;null;null
Boom Lars;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Rabobank ProTeam;Rabobank Cycling Team;null;Belkin-Pro Cycling Team;Belkin-Pro Cycling Team;Astana Pro Team;null;null;null;null
Wynants Maarten;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Quickstep - Innergetic;null;Rabobank Cycling Team;Belkin-Pro Cycling Team;Belkin-Pro Cycling Team;null;Team LottoNL-Jumbo;null;null;null
Frank Mathias;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;BMC Racing Team;null;null;null;IAM Cycling;IAM Cycling;IAM Cycling;AG2R La Mondiale;AG2R La Mondiale;AG2R La Mondiale
Cardoso Manuel Antonio Leal;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Footon-Servetto;null;null;null;null;null;null;null;null;null
Silin Egor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;Team Katusha;null;null;null;null;null
Paterski Maciej;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Liquigas - Cannondale;null;null;null;null;null;null;null;null
Meersman Gianni;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;FDJ;null;null;null;null;null;null;null;null
Galimzyanov Denis;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Team Katusha;null;null;null;null;null;null;null;null
van Garderen Tejay;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;HTC - High Road;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;BMC Racing Team;null;BMC Racing Team;EF Education First
Gallopin Tony;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Cofidis, le Crédit en Ligne;RadioShack - Nissan;RadioShack - Leopard;Lotto Belisol;Lotto Soudal;Lotto Soudal;Lotto Soudal;AG2R La Mondiale;AG2R La Mondiale
Zeits Andrey;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Pro Team Astana;null;null;null;null;null;Astana Pro Team;null;null
Galland Jérémie;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saur - Sojasun;null;null;null;null;null;null;null;null
Leukemans Björn;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Vacansoleil - DCM;null;null;null;null;null;null;null;null
Vanendert Jelle;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Omega Pharma-Lotto;Lotto Belisol Team;null;null;null;null;null;Lotto Soudal;null
Mangel Laurent;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Saur - Sojasun;null;null;null;null;null;null;null;null
